id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
5588053,c2b395de-12b1-4f69-8d8d-443a27698d05,2012/02/15 5:23 PM ART,2012-02-15,2012-02-15 20:23:00 UTC,Buenos Aires,142253,carancho,Leonel Roget,2017-04-06 02:53:01 UTC,2018-11-22 17:55:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/5588053,https://inaturalist-open-data.s3.amazonaws.com/photos/6896486/medium.jpeg,,"",,1,0,false,,"Colonia Carlos Pellegrini, Esteros del Iberá, Corrientes, Argentina",-28.5193827678,-57.0739746094,30878,,,,30878,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
5588155,18729cae-a094-42fb-80da-1085619a2163,2012/02/12 9:33 AM ART,2012-02-12,2012-02-12 12:33:00 UTC,Buenos Aires,142253,carancho,Leonel Roget,2017-04-06 02:57:15 UTC,2018-11-22 17:44:36 UTC,research,CC-BY,https://www.inaturalist.org/observations/5588155,https://inaturalist-open-data.s3.amazonaws.com/photos/6899148/medium.jpeg,,Esteros del Iberá,"",1,0,false,,"Colonia Carlos Pellegrini, Esteros del Iberá, Corrientes, Argentina",-28.5193827678,-57.0739746094,30878,,,,30878,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
10202724,4c7a599d-3433-4e2c-bfd5-d78214f76702,2018/02/27 11:03 AM PST,2018-02-27,2018-02-27 19:03:00 UTC,Pacific Time (US & Canada),16131,kschnei,K Schneider,2018-03-12 15:31:02 UTC,2018-03-13 01:53:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10202724,https://inaturalist-open-data.s3.amazonaws.com/photos/14095858/medium.jpeg,,"",,1,0,false,,"Vicente Lopez Ecological Reserve, La Lucila, Buenos Aires Province, Argentina",-34.4918126,-58.4794414,194,,,,194,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
19860463,fad2f872-0eef-4084-be07-024a43b52b73,Wed Jan 16 2019 06:21:48 GMT-0800 (PST),2019-01-16,2019-01-16 14:21:48 UTC,Pacific Time (US & Canada),213838,vireolanius,Justyn Stahl,2019-01-25 12:55:31 UTC,2019-07-29 19:23:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19860463,https://inaturalist-open-data.s3.amazonaws.com/photos/30622523/medium.jpg,,"","",1,0,false,3,"palmari, brazil",-4.289181,-70.293757,,,,,,,open,false,,"",Sabiá-congá,Saltator coerulescens,Saltador Gris,Aves,9850
19910479,67af5f8a-3a0b-41cb-ab20-f43096f87a27,2019/01/15 5:58 PM -03,2019-01-15,,Buenos Aires,50445,nicoolejnik,Nicolas Olejnik,2019-01-27 19:39:26 UTC,2024-11-07 20:17:15 UTC,research,CC-BY,https://www.inaturalist.org/observations/19910479,https://inaturalist-open-data.s3.amazonaws.com/photos/30710011/medium.jpeg,,"",,1,0,false,,"Yala, Jujuy, Argentina",-24.1243173324,-65.4017245549,31,,,,31,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
20364724,6a491b32-46fd-4487-b0ce-4acac639d48f,2019/02/05 3:47 PM CST,2019-02-05,2019-02-05 21:47:00 UTC,Mexico City,163685,kkacheltje,kkacheltje,2019-02-15 15:33:46 UTC,2022-10-09 17:38:32 UTC,research,CC0,https://www.inaturalist.org/observations/20364724,https://inaturalist-open-data.s3.amazonaws.com/photos/31445924/medium.jpeg,,"",,1,0,false,,"Corumbá - Mato Grosso do Sul, Brazilië",-19.4927,-56.9575444444,,,,,,,open,false,,,Sabiá-congá,Saltator coerulescens,Saltador Gris,Aves,9850
21390433,2d810496-a8ee-4a8d-b2e1-66d3b45199b6,2004/02/18 7:22 AM PST,2004-02-18,,Pacific Time (US & Canada),1420389,joescience1,,2019-03-19 16:37:37 UTC,2019-03-19 16:45:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21390433,https://inaturalist-open-data.s3.amazonaws.com/photos/33087593/medium.jpeg,,"",,1,0,false,,"Transpantaneira, Corumbá, State of Mato Grosso, Brazil",-17.7082682765,-57.0033187203,977,,,,977,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
25242993,7a0aaaac-17dc-46dd-91ed-bbedd0a4a8a0,2013-02-11 08:54:36,2013-02-11,2013-02-11 11:54:36 UTC,Buenos Aires,144,trekman,Gustavo Fernando Durán,2019-05-17 00:58:54 UTC,2024-06-25 13:42:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25242993,https://inaturalist-open-data.s3.amazonaws.com/photos/39078023/medium.jpg,,"pepitero, ave, bird, nature, naturaleza, natureza, Reserva Ecológica Costanera Este, Santa Fe de la Vera Cruz, ciudad, La Capital, Santa Fe, Argentina, América, America, Panasonic Lumix DMC-FZ150, teleconvertidor, Raynox, DCR-2020, teleconverter, Gimp","Reserva Ecológica &quot;Ciudad Universitaria UNL&quot;, Costanera Este, Santa Fe de la Vera Cruz",1,0,false,,"Santa Fe, Santa Fe, Argentina",-31.636943,-60.674133,,,,,,,open,false,,"",Saltador Gris,Saltator coerulescens,Saltador Gris,Aves,9850
26138387,5e7a6a61-ee73-4d8e-b20b-e4e564eb76a1,2019/02/03 4:31 PM EST,2019-02-03,2019-02-03 21:31:00 UTC,Eastern Time (US & Canada),696204,elacroix-carignan,Étienne Lacroix-Carignan,2019-05-31 21:24:53 UTC,2019-06-13 00:45:37 UTC,research,CC0,https://www.inaturalist.org/observations/26138387,https://inaturalist-open-data.s3.amazonaws.com/photos/40556474/medium.png,,"",,2,0,false,,"De La Residenta, Asuncion, Paraguay",-25.2376240541,-57.5441286415,2,,,,2,,open,false,,,Saltador Gris,Saltator coerulescens,Saltador Gris,Aves,9850
26138400,c1f29e36-2771-4ac1-aa2a-b165ffa9d3d8,2019/01/20 4:31 PM EST,2019-01-20,2019-01-20 21:31:00 UTC,Eastern Time (US & Canada),696204,elacroix-carignan,Étienne Lacroix-Carignan,2019-05-31 21:25:01 UTC,2021-04-29 16:05:35 UTC,research,CC0,https://www.inaturalist.org/observations/26138400,https://inaturalist-open-data.s3.amazonaws.com/photos/40557762/medium.png,,"",,2,0,false,,"Las Mercedes, Asuncion, Paraguay",-25.2885498722,-57.610898699,61,,,,61,,open,false,,,Saltator coerulescens,Saltator coerulescens,Saltador Gris,Aves,9850
