id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
304931,78f77e09-2d59-4b6f-8337-8c5ca09ef322,2011-11-21,2011-11-21,,Hawaii,15211,carmelo_lopez,Carmelo López Abad,2013-06-19 23:02:59 UTC,2014-10-20 04:18:26 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/304931,https://inaturalist-open-data.s3.amazonaws.com/photos/378503/medium.JPG,,"","",1,0,false,,"Cristalino Jungle Lodge, Alta Floresta, Mato Grosso, Brasil",-9.599396,-55.931053,523,,,,523,,open,false,,,Ruddy Pigeon,Patagioenas subvinacea,Torcaza colorada,Aves,3095
325847,9e4b15bb-b752-4d5b-bdf6-bc0a63749601,2013-01-15,2013-01-15,,Quito,18636,ronald1962,Ronald Navarrete-Amaya,2013-07-09 01:37:33 UTC,2025-03-04 15:59:07 UTC,research,CC-BY-ND,http://www.inaturalist.org/observations/325847,https://inaturalist-open-data.s3.amazonaws.com/photos/405649/medium.jpg,,"","",1,0,false,,Río Milagro en Yaguachi. Prov. Guayas,-2.1055417,-79.6948408,,,,,,,open,false,,,Ruddy Pigeon,Patagioenas subvinacea,Torcaza colorada,Aves,3095
2604373,03d71176-cfa7-4e86-a5fd-45b34ce44681,2014-05-19,2014-05-19,,Eastern Time (US & Canada),4172,chia,Chia⚡aka Cory Chiappone,2016-01-21 15:44:13 UTC,2017-12-02 03:51:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2604373,https://inaturalist-open-data.s3.amazonaws.com/photos/2908911/medium.JPG,,"","",2,0,false,,"Savegre Cloud Forest, Costa Rica",9.547409,-83.799956,564,,,,564,,open,false,,,Ruddy Pigeon,Patagioenas subvinacea,Torcaza colorada,Aves,3095
2878626,6b6aacdd-0dfe-4fe3-8044-824e27a67d1b,2016-03-11,2016-03-11,,Bogota,101061,seanhiggins,Sean A. Higgins,2016-04-04 05:54:47 UTC,2018-12-28 04:02:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2878626,https://static.inaturalist.org/photos/3287340/medium.jpg,,"","",5,1,false,,"Upper Anchicaya Road, Valle del Cauca, Colombia ",3.800889,-76.641271,170324,,,,170324,,open,false,,,Ruddy Pigeon,Patagioenas subvinacea,Torcaza colorada,Aves,3095
4531639,80ef6d6d-1fae-4564-a596-2a3c8694568e,2016/11/04 12:45 PM CET,2016-11-04,2016-11-04 11:45:00 UTC,Paris,175009,jujurenoult,Julien Renoult,2016-11-11 17:52:13 UTC,2025-03-13 07:26:29 UTC,research,CC0,http://www.inaturalist.org/observations/4531639,https://inaturalist-open-data.s3.amazonaws.com/photos/5489590/medium.jpg,,"",,1,0,false,,"Sinnamary, Französisch-Guyana",5.3126718861,-53.0474853516,662,,,,662,,open,false,,,Ruddy Pigeon,Patagioenas subvinacea,Torcaza colorada,Aves,3095
5082881,a9e68164-040e-4d49-9bfe-1f2a6621a203,2008/03/18 8:20 AM PDT,2008-03-18,2008-03-18 15:20:00 UTC,Pacific Time (US & Canada),403928,alisonke,,2017-02-10 03:50:31 UTC,2025-07-16 04:01:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5082881,https://inaturalist-open-data.s3.amazonaws.com/photos/6242460/medium.jpg,,"","",2,0,false,,Costa Rica,9.748917,-83.753428,209718,,,,209718,,open,false,,,Ruddy Pigeon,Patagioenas subvinacea,Torcaza colorada,Aves,3095
5197916,b8d03de2-88f6-4fe1-8470-7cbe39e38ae1,2008/02/06 9:09 PM EST,2008-02-06,2008-02-07 02:09:00 UTC,Eastern Time (US & Canada),167033,heatherpickard,Heather Pickard,2017-02-28 13:46:53 UTC,2017-12-02 03:51:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5197916,https://inaturalist-open-data.s3.amazonaws.com/photos/6414402/medium.jpg,,"","",3,0,false,,"San José Province, Dota, Costa Rica",9.5505191813,-83.8074660301,31,,,,31,,open,false,,,Ruddy Pigeon,Patagioenas subvinacea,Torcaza colorada,Aves,3095
5763115,458855f8-8a23-4216-bfdd-2f8296ef102e,2012/03/23 10:37 AM EDT,2012-03-23,2012-03-23 14:37:00 UTC,Eastern Time (US & Canada),20957,tapaculo99,"",2017-04-16 19:18:54 UTC,2017-12-02 03:51:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5763115,https://inaturalist-open-data.s3.amazonaws.com/photos/7153735/medium.jpeg,,"",,2,0,false,,"Provincia de Puntarenas, Monteverde, Costa Rica",10.32405867,-84.8160463572,56,,,,56,,open,false,,,Ruddy Pigeon,Patagioenas subvinacea,Torcaza colorada,Aves,3095
6718276,8c9f59e7-c53d-496f-af0c-1783eb1bfd21,2011/05/18 7:15 PM EDT,2011-05-18,2011-05-18 23:15:00 UTC,Eastern Time (US & Canada),154438,birdizlife,Frank Izaguirre,2017-06-19 17:06:14 UTC,2017-12-02 03:51:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6718276,https://inaturalist-open-data.s3.amazonaws.com/photos/8526304/medium.jpeg,,"",,2,0,false,,"Cartago Province, Costa Rica",9.7590409,-83.7836918,210,,,,210,,open,false,,,Ruddy Pigeon,Patagioenas subvinacea,Torcaza colorada,Aves,3095
7207414,1264265c-595e-445f-9e7b-b23f598b7275,2017-07-15 10:35:15 AM CDT,2017-07-15,2017-07-15 15:35:15 UTC,Central Time (US & Canada),19145,elhaase,Erin Haase,2017-07-25 21:23:54 UTC,2018-02-09 01:53:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7207414,https://inaturalist-open-data.s3.amazonaws.com/photos/9298950/medium.jpeg,,"","",2,0,false,2,"Puntarenas, CR-PU, CR",10.30713133,-84.80424013,13,,,,13,,open,false,,,Ruddy Pigeon,Patagioenas subvinacea,Torcaza colorada,Aves,3095
